LAST,FIRST,POS,AGE,TEAM,GP,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,EFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Abdul-Aziz,Zaid,C,30,BUF,22,None,195,25,74,.338,None,None,None,25,74,.338,.338,33,43,.767,41,49,90,7,3,9,None,21,83
Abdul-Jabbar,Kareem,C,29,LAL,82,None,3016,888,1533,.579,None,None,None,888,1533,.579,.579,376,536,.701,266,824,1090,319,101,261,None,262,2152
Abernethy,Tom,SF,22,LAL,70,None,1378,169,349,.484,None,None,None,169,349,.484,.484,101,134,.754,113,178,291,98,49,10,None,118,439
Adams,Alvan,C,22,PHO,72,None,2278,522,1102,.474,None,None,None,522,1102,.474,.474,252,334,.754,180,472,652,322,95,87,None,260,1296
Adams,Don,SF,29,BUF,77,None,1710,216,526,.411,None,None,None,216,526,.411,.411,129,173,.746,130,241,371,150,74,16,None,201,561
Allen,Lucius,PG,29,LAL,78,None,2482,472,1035,.456,None,None,None,472,1035,.456,.456,195,252,.774,58,193,251,405,116,19,None,183,1139
Anderson,Jerome,SG,23,IND,27,None,164,26,59,.441,None,None,None,26,59,.441,.441,14,20,.700,9,3,12,10,6,2,None,26,66
Archibald,Tiny,PG,28,NYN,34,None,1277,250,560,.446,None,None,None,250,560,.446,.446,197,251,.785,22,58,80,254,59,11,None,77,697
Ard,Jim,C,28,BOS,63,None,969,96,254,.378,None,None,None,96,254,.378,.378,49,76,.645,77,219,296,53,18,28,None,128,241
Averitt,Bird,SG,24,BUF,75,None,1136,234,619,.378,None,None,None,234,619,.378,.378,121,169,.716,20,58,78,134,30,5,None,127,589
Awtrey,Dennis,C,28,PHO,72,None,1760,160,373,.429,None,None,None,160,373,.429,.429,91,126,.722,111,245,356,182,23,31,None,170,411
Bantom,Mike,PF-SF,25,TOT,77,None,1909,361,755,.478,None,None,None,361,755,.478,.478,224,310,.723,184,287,471,102,63,49,None,233,946
Bantom,Mike,PF,25,SEA,44,None,795,137,281,.488,None,None,None,137,281,.488,.488,58,84,.690,83,103,186,52,35,21,None,113,332
Bantom,Mike,SF,25,NYN,33,None,1114,224,474,.473,None,None,None,224,474,.473,.473,166,226,.735,101,184,285,50,28,28,None,120,614
Barker,Tom,C,21,ATL,59,None,1354,182,436,.417,None,None,None,182,436,.417,.417,112,164,.683,111,290,401,60,33,41,None,223,476
Barnes,Marvin,PF,24,DET,53,None,989,202,452,.447,None,None,None,202,452,.447,.447,106,156,.679,69,184,253,45,38,33,None,139,510
Barnett,Jim,SG,32,PHI,16,None,231,28,64,.438,None,None,None,28,64,.438,.438,10,18,.556,7,7,14,23,4,0,None,28,66
